FEN,Moves
8/8/3Q4/pp6/k1pQ4/8/PP3P2/5K2 w - - 0 39,d6a3 d4d1 b2b3
2Q5/8/8/1P1k4/8/2P4Q/P7/6K1 w - - 1 49,h3e6
7Q/8/8/5pk1/8/2P2Q2/6P1/6K1 w - - 5 65,f3g3
1Q4Q1/8/8/3B1k2/3P4/8/5P2/5K2 w - - 3 50,b8f8 b8e5
8/8/8/1q2q1k1/3q4/8/8/7K b - - 9 75,b5b7 b5c6 b5d5 b5f1
1Q6/2Q5/8/8/8/8/k7/4K3 w - - 7 52,c7a7 c7a5
k7/8/8/1QQ5/8/7K/Pp6/8 w - - 1 59,c5a3
8/1p3K2/1k6/6q1/1n2q3/8/8/8 b - - 3 55,e4e7
8/8/8/Q4Q2/2P5/1P2k3/8/5K2 w - - 1 50,a5c3
5K2/1q6/2q5/8/8/5k2/5b2/8 b - - 13 67,c6c8
6Q1/8/8/8/3pk1P1/1R6/5P2/2Q2K2 w - - 1 45,g8e6
4Q3/3Q4/7p/7p/1kP2K1P/4Q3/8/8 w - - 5 59,d7b5 d7a4
7q/8/5RK1/3q4/8/7k/8/8 b - - 18 81,d5h5
3BQ3/3n2pp/5p2/8/1p5k/2NQ3P/5PP1/5RK1 w - - 1 32,d3g3
8/8/8/4q2q/8/3K4/1k6/8 b - - 1 69,h5e2
2Q5/8/1k6/8/P7/2Q2PK1/8/8 w - - 1 55,c3c7 c3c5
8/8/7k/Q7/8/8/5PQp/K5R1 w - - 0 43,g2g7 g2g6 g2h3 g2h2
8/p5pk/7p/1P2q3/P5K1/7P/6P1/5q2 b - - 3 46,e5g5 f1f4
4Q3/7k/2Q5/4Pp2/8/6K1/5P1P/8 w - f6 0 45,c6g6
4b1k1/7p/8/8/8/1q6/2q5/6K1 b - - 13 52,b3b1
2q5/8/8/7K/8/8/8/3k2q1 b - - 7 81,c8h8 c8h3
1Q6/8/k7/8/4P1P1/8/7K/2Q5 w - - 19 65,c1a3 c1a1
5r2/p5qp/8/4k2K/8/7B/7q/8 b - - 1 33,h2h3
6k1/6p1/6Q1/8/4Q2P/1P4P1/2P1p1K1/q7 w - - 0 41,g6e8 e4e8
8/7K/3k4/5r2/8/8/8/1q4q1 b - - 7 49,f5h5
2QQ4/8/B7/P3k3/8/3K2P1/6P1/8 w - - 5 56,d8d4
8/1p6/6q1/8/7K/5k2/8/6q1 b - - 3 51,g6h7 g6h6 g6g4 g1g4 g1g3 g1h2 g1h1
8/pp2k3/8/1Kp1p3/3qP3/1P3P2/P7/4q3 b - - 7 47,d4b4 e1b4
8/8/8/2Q5/5k2/3Q4/3P2P1/4K3 w - - 10 55,c5f5 d3f3
8/8/5Q2/6Q1/3pk1P1/3n4/8/6K1 w - - 2 67,f6c6 f6f5
3Q4/1p5p/2p3p1/1k6/6b1/QP1P4/P1P3PP/4R1K1 w - - 3 38,d8a5 a3a5 c2c4
8/6p1/K5k1/8/8/1qq2n2/8/8 b - - 15 64,c3a1
8/8/4k3/1Q6/7Q/8/1K6/3R4 w - - 7 53,b5d5
3r4/8/8/qk3q1r/8/4K3/8/8 b - - 5 65,a5d2 a5e1
8/8/2q4k/4K3/2q5/8/8/8 b - - 2 59,c6e6 c4e4
8/P7/8/8/2p5/2P1k3/2K5/q4q2 b - - 0 57,f1f5 f1d3 f1g2 f1f2 f1e2 f1d1 f1c1 f1b1 a1a2 a1c1 a1b1
8/8/2k3b1/8/7K/8/6q1/5q2 b - - 3 78,f1f6 f1f4 f1c4 f1f2 f1h1 f1e1
Q7/2Q5/1p6/pk6/8/2P4P/P5K1/8 w - - 3 42,c7c6
1r6/1r6/1r2n3/1r6/K7/7k/8/8 b - - 25 75,b8a8 b7a7 b6a6
8/2Q5/8/1Q6/3Q4/k5K1/8/8 w - - 11 62,c7a7 c7a5 b5a4 b5b2 d4a7 d4a4 d4b2 d4a1
1Q3Q2/8/8/4K3/8/p7/8/k7 w - - 1 69,f8a3
1Q6/5p2/5p2/1N3k1p/8/1Q6/PB3P1P/3R2RK w - - 0 31,b3d5
8/5k2/4p3/4Kn2/3p4/8/8/5qq1 b - - 5 47,g1e3
5Q2/8/6k1/8/8/5QK1/8/8 w - - 3 51,f3f5
8/1pk5/p1p4p/2P5/2q5/8/3K4/5q2 b - - 1 48,c4d3 c4c1 f1e2 f1c1
6k1/8/8/8/3pp3/7q/3K4/5qq1 b - - 1 69,h3d3 h3c3 h3h2 h3g2 g1h2 g1g2 g1f2 f1d3 f1g2 f1f2 f1d1
1Q6/7k/5Q2/6p1/6P1/P7/6P1/6K1 w - - 1 44,b8h8
2K5/q7/1q6/8/8/8/3k4/8 b - - 11 66,a7c7 a7b7 b6b8 b6c7
7Q/3Bk3/8/1p6/3Q1B2/P2P4/P1P5/R2K4 w - - 0 34,h8e8 h8f6 d4g7
6k1/4q2p/7P/6q1/8/5K2/8/8 b - - 5 59,e7e3
Q7/5p2/1QB1p1pk/6qp/3P4/8/5PPP/5RK1 w - - 1 41,a8h8
8/p7/5Q2/1p1k4/7Q/2P5/5PPK/1q6 w - - 1 41,h4d4
N5NN/2N5/2R5/8/k2N4/2P5/8/7K w - - 1 67,c6a6
8/1q3p1p/8/8/5k2/8/K7/2q5 b - - 3 49,b7d5 b7b2 b7b1 c1b2
3Q3r/6kp/p7/5Q2/P1b4P/6P1/1b6/6K1 w - - 2 36,d8g5
8/8/8/2K3k1/4q3/8/8/4q3 b - - 5 67,e1b4
4K3/k7/8/8/8/2Q5/1Q6/8 w - - 7 76,c3a5 c3a3
8/4k3/8/8/8/K7/2q5/3qq3 b - - 1 58,c2b3 e1a5 e1c3 d1d6 d1f3 d1d3 d1c1 d1a1
1Q3QQQ/8/8/2B5/3RK3/8/2k5/8 w - - 1 76,g8c4
2k5/1p3Pq1/2p5/7K/7P/1q6/8/8 b - - 2 47,b3f7 b3d5 b3b5 b3f3 b3d1
7K/3q1q2/8/8/5p2/5k2/8/8 b - - 15 63,f7f8 f7e8 f7h7 f7g7 d7e8 d7d8 d7c8 d7d4 d7h3
3Q4/8/6K1/8/p5P1/P5Q1/4k2P/8 w - - 3 56,d8d3
4Q3/7Q/1Q6/3k4/8/8/3K4/8 w - - 7 67,e8e6 e8b5 e8e4 h7g8 h7f7 h7e4 h7d3
8/8/1Q6/8/k1PQ4/6Pp/5P1P/2K5 w - - 5 47,d4a1
8/q7/6p1/4b3/2k1K3/8/4N3/5q2 b - - 7 61,f1f5 f1e2
r7/1b6/p1p5/1p5k/2P3q1/1P2K3/P2n4/5q2 b - - 0 42,g4f4 f1e2
1Q3R2/2Q5/8/8/k7/4K3/8/4N3 w - - 7 73,c7a7
Q7/8/8/1Q6/6k1/5N2/5PP1/3R2K1 w - - 1 45,a8e4 a8a4 b5g5 d1d4
8/6Q1/Q4Q2/8/8/K6k/8/8 w - - 13 77,f6h6
5K2/7k/3P1Q2/4Q3/8/8/8/8 w - - 5 68,f6g7 e5e7 e5h5 e5f5 e5e4 e5h2
8/7k/8/8/p7/2q5/7q/3K4 b - - 3 64,c3d2 c3a1 h2h5 h2d2 h2c2
8/4kp2/2q3p1/p2Bq3/P7/3K4/8/8 b - - 3 40,c6c3
8/6Rp/2R1R3/p4p1k/P2p1P2/8/6PP/6K1 w - - 0 44,e6h6
8/3q4/K7/ppq5/8/8/P5k1/8 b - - 17 63,d7a7 c5a7
8/4q3/8/3K4/1k6/8/8/2q2q2 b - - 9 60,f1c4 f1d3 f1d1 c1c5 c1c4
8/1p2nK2/8/4k3/pq3pqp/8/8/8 b - - 3 53,g4g8
Q7/8/7p/8/6pk/2P1Q3/8/2KR4 w - - 1 44,a8h1 d1h1
8/8/2Q5/6k1/P3Q2p/1N6/1P3PPP/6K1 w - - 9 43,c6g6
8/3K4/1q6/8/8/4q3/4k3/8 b - - 2 64,e3e6
8/8/4qp2/2K5/8/3q1k2/8/8 b - - 9 77,e6d6 d3c4
7k/8/7p/1p5K/8/8/3q4/4q3 b - - 1 52,d2g5
r3k2r/pp4p1/4p1P1/1P1p4/6n1/1K6/3b4/q4q2 b kq - 3 34,f1c4 f1d3 f1d1 f1b1
7Q/4k2K/6Q1/5P2/8/8/8/8 w - - 3 78,h8e8 g6e6
5Q2/3k2K1/6Q1/8/8/8/8/8 w - - 5 81,g6d6
4Q3/8/8/k1B2K2/1p5p/1P5P/7Q/8 w - - 0 48,e8a4 h2a2
2K5/4q3/6q1/8/8/5k2/8/8 b - - 5 66,g6g8 g6e8
1Q6/8/8/2Q5/8/6K1/k7/8 w - - 9 54,c5a7 c5a5
8/8/8/5R2/1P6/2k1K3/Q6Q/8 w - - 4 66,h2d2 h2b2
1QQ5/8/8/3P4/4P3/k3K3/8/8 w - - 11 58,c8a6
8/R6p/P4kp1/5p2/5K2/2q3P1/5P1P/5q2 b - - 4 39,f1c4 f1f2 f1c1 g6g5
5K2/7k/8/8/8/8/4q3/q3b1q1 b - - 1 60,g1g8 g1g7 g1f2 g1f1 a1g7 a1f6
2Q2Q2/8/8/1k4KP/p7/8/8/8 w - - 0 63,f8c5
8/2p5/1k1p2pp/4n3/8/1q6/q7/4K3 b - - 13 60,b3b1
3rr3/8/8/8/K7/3q2k1/8/1q6 b - - 1 58,d8a8 d3a6 b1b5
Q5QQ/8/8/1p6/1k6/8/5R2/4N1K1 w - - 1 59,h8d4 e1d3
8/8/8/6k1/8/5K2/7q/6q1 b - - 1 87,h2g2
5k2/3Q4/4Q3/8/1P6/8/1K6/8 w - - 9 56,d7f7 d7e7 e6e8 e6f7
6Q1/1N6/7k/8/8/5Q2/8/4K3 w - - 3 54,f3h3 f3h1
3r2k1/ppp5/2q1p1p1/8/1K6/1P2q3/P7/8 b - - 1 38,e3c5
8/2k5/2P5/8/7K/8/6q1/5q2 b - - 5 58,f1h1
7Q/5k2/8/6Q1/8/4pp2/5P2/5K2 w - - 0 55,h8g8 g5f6
4Q3/8/3k4/5Q2/8/8/5K2/8 w - - 7 70,e8d7 f5e5
8/8/8/2Q3p1/Q7/5kpP/1PP2P2/5RK1 w - - 10 46,c5e3 a4g4
7k/8/2Q3Qp/5pp1/6P1/2P4P/5K2/3R4 w - - 6 43,c6e8 c6c8 c6a8 c6f6 d1d8
8/8/8/1QQ2N2/8/4P2P/8/k5K1 w - - 3 65,c5a7 c5a3
8/2K5/8/P7/4Q2P/8/5k2/3Q4 w - - 0 62,e4f3 d1e1
8/8/5k2/6pK/4r3/r7/8/4r3 b - - 3 51,e4h4 a3h3 e1h1
1n5k/p5pp/3p4/1K6/6q1/3P4/PPPB4/R3q3 b - - 1 33,e1e5
2n2Q2/kn6/pp6/3PP3/PBp5/5pP1/1RP3r1/3R1KQr b - - 2 41,h1g1
1Q6/2Q5/k7/6K1/8/8/8/8 w - - 11 61,b8b7 b8b6 c7a7 c7b6
4Q3/7k/5Q2/8/8/P7/5P1K/8 w - - 1 48,e8h8 e8f7 e8g6 f6h8 f6g6
8/pp6/6k1/2q3b1/K7/1P3q2/P7/8 b - - 3 47,f3c6
7K/1p6/pk1p4/6q1/8/8/8/2q5 b - - 1 79,c1h1
8/1Q6/4K3/4P3/kP6/2Q5/P5P1/8 w - - 2 49,b7d7 b7c6 b7a6 c3b3
3N4/8/8/7Q/2pk4/5Q2/1P3KP1/8 w - - 7 50,d8e6 d8c6 h5d5 f3d5 f3e3
8/8/3Q4/p4p1k/1p2bQ1p/7P/P5P1/7K w - - 2 49,d6h6 f4h6
2q5/1q6/7k/8/K7/8/8/8 b - - 19 77,c8a8
4QQ2/p6k/8/8/8/8/PP3p2/1K6 w - - 6 46,f8h8 e8f7 e8h5 e8e4
1r5k/p6p/6p1/P3p3/4P3/K1P5/2r5/1r6 b - - 1 39,b1a1
8/5pkp/6p1/8/8/6PP/5qQK/3q4 b - - 1 37,d1g1
q7/4K1k1/7p/8/P7/8/8/3q4 b - - 3 74,a8e4
8/8/7k/8/3q4/8/4K3/1q6 b - - 3 54,b1d1
8/4Q3/4Q3/7k/p4p1p/P4P1P/8/6K1 w - - 2 49,e7c5
8/8/8/3pBqq1/2kP4/8/7K/8 b - - 15 70,f5h7
3k4/6Q1/7Q/1p3P2/1P2P3/2K5/8/8 w - - 3 54,h6h8
5Q2/8/2P2Q2/7k/p3N3/P6K/8/8 w - - 3 59,f8h8 f8e8 f8f7 f8h6 f8c5 f6f7 f6h6 f6g5 f6f5 e4g3
8/8/8/7p/6qP/4k3/7K/5q2 b - - 3 59,g4h4 g4f4 g4h3 g4g2 g4g1 f1h3 f1g2 f1g1
Q7/1P6/8/2Q5/6PK/8/7P/1k6 w - - 1 59,b7b8q b7b8r
8/6kp/8/8/K7/8/1q6/2q5 b - - 11 54,c1a1
8/7N/8/8/6Bk/5K2/4Q3/2Q5 w - - 2 83,e2e7 e2h2 e2f2 e2e1 c1h6 c1g5 c1h1 c1e1
7Q/6B1/8/8/8/1R3QP1/4K3/6k1 w - - 1 52,h8h1 g7d4 f3f2 f3h1 f3f1 b3b1
1QQ4K/7R/8/8/k7/3Q4/8/8 w - - 5 79,c8a6 b8b5 h7a7 d3a6
8/pp6/8/Q7/3pp3/1PQ1P3/5PP1/1k4K1 w - - 2 39,a5a1
6k1/5ppp/2p5/6P1/2K2P2/8/8/qq6 b - - 1 43,b1b5
Q7/3R3p/4pkp1/5p2/1P6/2pp2P1/3Q1P1P/6K1 w - - 0 36,a8h8
1Q6/8/5Qpk/7p/8/8/P4PPP/6K1 w - - 1 35,b8h8
8/6K1/8/5q2/8/6p1/8/4k2q b - - 1 64,h1h7
3Q4/8/QR6/2p1k3/2Pp1p1p/3P1P1P/5P2/6K1 w - - 1 45,d8f6 d8g5 d8d5
Q2n2r1/2pq2rb/1k3n2/2pPp1Pp/2P1P3/1P3P2/2BB2Q1/R3R1K1 w - - 1 34,a8a7 a8a6 d2a5 a1a6
4Q3/8/8/3Q4/8/5Q2/7k/2K5 w - - 7 57,f3g2
3QQ3/5QQ1/8/8/8/7Q/8/1k4K1 w - - 11 78,d8d1
6k1/1B1Q4/3Q3p/4ppp1/4P1P1/5PKP/8/8 w - - 6 47,d6b8
rk6/rb1q2b1/p7/8/1K6/7q/8/8 b - - 13 56,d7b5 h3c3
QQQ1Q3/7k/7p/7R/5N1P/6P1/5P2/5K2 w - - 1 59,e8h8 e8g8 e8f7 e8e7 e8d7 e8g6 c8d7 c8c7 c8b7 b8c7 b8b7 b8a7 a8b7 a8a7
Q7/p4bk1/8/6K1/3b2P1/2P4q/P6P/1q6 b - - 0 37,d4e3 h3h6
8/6Q1/3k4/P7/P4PPP/2QK4/8/4R3 w - - 3 47,g7d4
1q3k2/P4p2/1PK5/1P3r2/8/8/3q4/8 b - - 4 62,b8c8 d2d6 d2d5
5q2/1q6/8/3k4/3r4/p6K/3r4/1qq5 b - - 1 79,f8f3 b7b3 c1c3 b1d3 b1b3
Q5Q1/8/8/8/2K2k1P/2P5/6R1/8 w - - 1 58,g8g5
8/8/1p5p/1Pq2kp1/K7/8/8/1q6 b - - 3 56,c5b4 b1b5 b1b4 b1c2 b1a2 b1d1
6B1/1p6/1k6/3Q4/Q1p1P3/2P5/P4PPP/R4RK1 w - - 3 35,d5d6 d5a5 a4a5
8/7p/4k3/8/6r1/q7/1q6/4K3 b - - 5 62,g4g1 a3a1
5Q2/8/8/8/8/1P5k/1K2N3/6Q1 w - - 11 55,f8h8 f8h6 g1g3
6K1/8/6kp/6p1/5qP1/8/6q1/8 b - - 15 62,f4b8 g2a8
4Q1R1/p2Q2pr/2p2k2/5p1p/2P2B1b/4P3/4rPPP/5RK1 w - - 1 26,g8f8 e8f7 e8e6 d7d8 d7f7 d7e7 d7e6 d7d6 d7c6 d7d4
6k1/6bp/8/8/5q2/5q2/8/6K1 b - - 1 54,g7d4 f4g3 f3f1
5k2/5p2/4P2p/8/5P1P/6Q1/6PK/q1q5 b - - 0 42,c1h1
4r3/1pk5/8/K7/8/8/2q5/1q6 b - - 11 52,e8a8 e8e5 c2a2 b1b6
3Q3Q/6Q1/5Q1Q/8/3K4/k7/P7/RR6 w - - 1 73,d8a8 d8a5 g7a7 f6a6
6n1/2P5/8/q7/q7/2q5/8/1K3k2 b - - 19 68,a5b6 a5f5 a5b5 a5b4 a4b5 a4e4 a4b4 a4b3 a4c2 a4a2 a4d1 a4a1 c3c2 c3a1
5k2/7p/4P3/4K3/8/8/n4P2/1qqr4 b - - 1 51,c1g5
8/4k1K1/Q7/1Q6/8/8/8/8 w - - 13 72,a6f6
5Q2/8/8/1K6/6P1/1P5k/5Q2/3B4 w - - 7 73,f8h8 f8h6 f8f3
1r1Q4/pp5p/1b1P3r/3QBp1k/4pP2/8/PP5P/2R3RK w - - 3 32,d8g5 d5d1
5b2/2p4r/1p1pK3/7k/7P/5P2/8/q5q1 b - - 5 44,a1e5
6Q1/6Q1/2k5/4R3/4PP2/8/P7/6K1 w - - 3 47,g8e6
5k2/6b1/K7/8/8/8/1q3pp1/2q5 b - - 5 58,c1a1
6K1/7p/6pk/8/2n5/8/4q3/3q4 b - - 5 63,e2e8
6k1/7p/5q2/8/8/6q1/4K3/5n2 b - - 3 53,f6f3
2q5/7k/3P4/2PK4/8/4r3/2q5/8 b - - 3 69,c8c5 c2c5 c2e4 c2d3
2Q4r/p3kp2/B3p3/8/3P4/2R1P1P1/P1Q2K2/7q b - - 2 33,h8h2
5R2/kp6/1q6/8/K7/8/8/2q5 b - - 5 65,c1a1
6k1/7p/5Qp1/6Q1/8/p6P/5PP1/6K1 w - - 5 40,g5d5
7R/8/1p3k2/p7/3P2Q1/2P4P/P4PP1/R3R1K1 w - - 3 36,h8f8
1Q6/8/2B5/8/7P/4Q2K/2k4P/1R6 w - - 3 61,b8b3 b8b2 c6e4 c6a4 b1c1
8/8/p7/4qk2/2K5/8/8/1q6 b - - 7 59,b1b5
2Q5/6k1/8/7K/1P3P2/3Q3P/8/8 w - - 1 51,d3g6
2k5/ppp5/2q2p2/8/1P4p1/2q5/P2RK3/4B3 b - - 1 36,c6f3 c3f3
3b2k1/6p1/8/7K/8/8/1r6/q4rr1 b - - 1 52,b2b5 b2h2 f1f5 a1a5 a1d1
4Q3/1k6/3Q4/6R1/8/6K1/8/8 w - - 3 55,e8b8 g5g7
1Q6/8/8/8/8/8/k7/2Q3BK w - - 19 86,b8g8 b8b2 b8b1 c1b2
r2q3r/5k2/1Q5p/p7/P3PPq1/BPb5/5P1P/5KR1 b - - 3 31,d8d3 d8d1
5QQ1/5Q1P/1k6/p7/P7/8/8/R4RK1 w - - 1 47,g8g6 f8d6 f1f6
8/7p/5nkb/4q3/1K6/3q4/8/8 b - - 5 48,e5b5
4k3/5r2/3p1r1b/8/4q3/7K/3P4/6q1 b - - 3 59,f6f3 e4g4 e4h1 g1g2
6N1/7K/8/2N5/8/3N4/4Q3/k7 w - - 35 96,e2b2
8/8/8/8/2Q5/8/3Q4/1k4K1 w - - 7 61,c4a2 c4f1 c4c1 d2a2 d2c1
3QQ3/7p/6p1/8/2k5/2P2P1P/1B1Q3K/4QR2 w - - 1 61,d8d5 d2d5
r7/5kp1/4p2p/p3P3/6K1/4P2P/1P1q1qP1/8 b - - 1 29,d2e2 d2d1
5Q2/8/p7/kBQ4p/8/2N5/PP3PPP/6K1 w - - 0 38,f8d8 c5c7 b5e8 b5d7 b5c6 b5c4 b5a4 b5d3 b5e2 b5f1 b2b4
7K/1p6/p7/8/1P6/7k/8/4q1qb b - - 3 64,e1h4
2kr4/8/8/7K/8/8/6q1/b4q2 b - - 9 64,d8h8 f1h1
8/5Q2/8/8/8/1Q6/4k3/6K1 w - - 43 78,f7f2
8/p1p1k3/3np3/P7/4q3/1K1b4/8/2q5 b - - 13 43,e4c4
8/6k1/1Q4p1/5p2/6q1/2P5/P2K4/6q1 b - - 1 41,g4d1
8/8/3Q4/5Q2/2k5/5K2/8/8 w - - 5 79,f5d3
2Q5/5K2/3k4/8/8/2Q5/8/8 w - - 5 63,c8d8 c8e6 c8c6 c3c5 c3d4
2k5/Q7/1Q6/8/4K3/1P6/8/8 w - - 7 60,a7c7 a7b7 b6b8 b6c7
1QQ5/P5k1/8/3B4/7p/3P1R1P/3B1K2/1N6 w - - 1 55,c8g8
4K3/1q6/q7/q7/8/2k5/8/8 b - - 3 83,a6a8
1k6/1pp2p1p/3b4/8/7P/6P1/5PK1/q2q4 b - - 0 38,d1h1
1Q6/8/5K2/1Q6/3k2P1/8/8/8 w - - 1 57,b8e5
2K5/b7/6q1/6q1/5k2/8/8/8 b - - 7 83,g6c6
7Q/1pp2B2/8/1p6/3Q1Pb1/1P4P1/k7/6K1 w - - 1 40,d4b2 d4a1
8/8/2K5/4q3/7p/3b1k2/8/1q6 b - - 3 61,b1b5
8/pk3B1p/1ppp1p2/4b2P/1P2P3/P6q/2P3q1/2K5 b - - 2 34,h3h1
1Q6/7k/p1Q3pp/P6P/8/1p6/1P3PK1/8 w - - 0 45,c6d7 c6c7 c6b7 c6g6
7k/8/8/8/8/q6q/8/6K1 b - - 9 61,a3a7 a3c5 a3g3 a3e3
1K6/8/5q2/1p4k1/3b4/8/2q5/2r5 b - - 1 82,c2c8
8/K4k2/4b3/8/2q5/8/8/1q5q b - - 7 58,c4a4 c4a2 h1b7 b1b7
R1Q5/5qpk/4p1pp/2B5/3NQ3/4P3/5rPP/6K1 w - - 0 30,c8h8
8/8/8/7q/8/1k4K1/2r5/3q1q2 b - - 3 59,h5g5 h5g4 h5h3 h5h2 c2c3 c2g2 f1f3 f1f2 d1d6 d1g4 d1f3 d1d3 d1e1
6Q1/8/8/1K1P1p2/4Pk2/6p1/6Q1/8 w - - 2 56,g8g3
8/8/1Q6/7k/8/6P1/6KP/5Q2 w - - 5 49,f1f5
7Q/5p2/6k1/4Q3/7B/q7/6PK/8 w - - 3 53,h8g7 h8h5 e5f6 e5h5 e5g5
2k4r/1p6/1P1b2pp/8/5rPK/1P5P/5P2/2q1q3 b - - 1 32,e1f2
6bk/8/7p/4K2P/8/8/5q2/7q b - - 1 43,h1d5
3Q4/1Q4pp/p4pk1/8/P4r2/4n2K/7P/4q3 b - - 3 34,f4h4 e1h4
8/8/8/5q2/1p4q1/3k4/8/7K b - - 11 64,f5h7 f5h5
5Q2/6Q1/P1K5/8/8/8/7k/8 w - - 3 61,f8h8
2k5/8/4pp2/2q1b1p1/8/8/1p2K3/q1q5 b - - 3 53,c5e3 c1e3 c1d1
1RR2BRR/P7/4k3/8/8/8/3R1R2/2K5 w - - 1 63,c8e8
3q2k1/5ppp/4p3/8/7P/3qp3/6PK/6Q1 b - - 0 50,d8h4
8/8/5K2/8/4Q3/1Q6/3k4/8 w - - 7 74,e4e3 b3c2
2B4B/2N5/N1N5/2N5/R7/1N6/2k1K3/8 w - - 43 70,c8f5
r7/p4p2/5K1k/3r3P/8/3pq1q1/8/8 b - - 7 42,g3g7 g3f4 g3f3 g3f2 e3e6
N1NN1NNk/4K3/8/8/8/8/8/6R1 w - - 1 81,d8f7
3R4/2p5/2Q5/kp6/7Q/8/1PP5/2K5 w - - 3 44,d8a8
7Q/8/8/8/1PQ3K1/k7/8/8 w - - 1 53,h8a1
4Q3/1p6/1Kp2Qpk/8/2rP2P1/8/1p5P/8 w - - 0 44,e8h8 e8g6 f6g6
rk4b1/pP3q2/3K4/7q/8/8/8/8 b - - 6 47,f7c7 f7e6 h5d5
1K6/8/k7/8/8/8/8/3qn1q1 b - - 11 68,d1d8
8/1p3q2/2p5/KpP5/3q4/8/6k1/8 b - - 1 64,f7c7
6Q1/p7/4p3/8/2p5/5P2/PPP4Q/1K1k4 w - - 0 49,g8g1
8/8/3Q2B1/k7/2Q5/8/5PP1/6K1 w - - 7 54,d6d8 d6c7 d6a6 d6c5 d6b4 c4a6 c4b4
2k4K/2p5/8/8/8/8/6q1/6q1 b - - 23 52,g2g8 g2g7 g2h3 g2h2 g2h1 g1h2 g1h1
