FEN,Move,Win Probability,FEN ID
5k2/1p1P2pp/pb1p4/P3p3/1P6/7P/3P1PP1/5R1K b - - 0 27,"['b6d8', 'b6c7', 'f8e7', 'b6a5', 'f8f7', 'g7g5', 'd6d5', 'e5e4', 'h7h5', 'h7h6', 'g7g6', 'b6d4', 'b6a7', 'f8g8', 'b6c5', 'b6f2', 'b6e3']","[0.17453266737981438, 0.14540801215840354, 0.09285968753405982, 0.09285968753405982, 0.08683957548832155, 0.0851035919775297, 0.08481733928130131, 0.08424745343669515, 0.08396381614947102, 0.08172578028842459, 0.07847053699808193, 0.03154354953282035, 0.022041452481682045, 0.020881816448439117, 0.01639137237615451, 0.01280724358094576, 0.010483967313728082]",YT3PGZ
3r4/pkp3R1/8/1p3p2/2b4r/2n1P3/1P6/2K3R1 w - - 4 28,"['b2c3', 'g1e1', 'c1c2', 'b2b3', 'g7c7', 'g7g2', 'g1g2', 'g7g6', 'e3e4', 'g7g5', 'b2b4', 'g1g6', 'g1f1', 'g7d7', 'g7g3', 'g7e7', 'g7g8', 'g7h7', 'g1g3', 'g7f7', 'g7g4', 'g1g4', 'g1g5', 'g1h1', 'g1d1']","[0.05487559552749721, 0.04942032339780161, 0.043705873137683204, 0.03821723269477967, 0.031882747987337534, 0.028952907931009242, 0.0286439576050867, 0.02676032285058416, 0.02385687836217837, 0.021338327691400538, 0.021032914779828327, 0.020881816448439117, 0.02058280010711394, 0.019997290246807298, 0.019853480857462413, 0.01971068486457017, 0.019218780968537075, 0.01827081416153531, 0.017621942553047165, 0.01736877778691115, 0.01730604689613624, 0.016690855614083178, 0.012576552557639564, 0.0, 0.0]",TA8N87
r2qk2r/pp2bppp/2n1pn2/1Bpp4/5Pb1/1P1PPN2/PBP3PP/RN1Q1RK1 b kq - 0 8,"['a8c8', 'd8d7', 'd8c7', 'd8b6', 'd8c8', 'd8d6', 'e8g8', 'h7h6', 'a7a5', 'a8b8', 'd8a5', 'c5c4', 'g4h5', 'g4f3', 'h8g8', 'e7d6', 'h7h5', 'a7a6', 'g7g6', 'h8f8', 'd8b8', 'f6h5', 'e8f8', 'g4f5', 'e7f8', 'd5d4', 'e6e5', 'f6d7', 'f6g8', 'g7g5', 'f6e4', 'g4h3', 'e8d7', 'b7b6']","[0.48711557303526726, 0.47700323643230064, 0.47608474251652944, 0.4733302559691369, 0.4714948226881868, 0.467826316589383, 0.46141502858974687, 0.45227865991833244, 0.4486327495624493, 0.44590191339485113, 0.44590191339485113, 0.44135784741538037, 0.4404501867400794, 0.4377296159574105, 0.43501278527292314, 0.4304934733529298, 0.4277873846879599, 0.4241860033205554, 0.4214902195015801, 0.4205926555346196, 0.4196956162806843, 0.41700770288330274, 0.410755311431655, 0.4071952805672289, 0.4063067778943678, 0.3904236728688792, 0.3721847977876407, 0.3627707844161063, 0.2373579657373579, 0.17666477329070246, 0.1309495413845757, 0.12398914293212276, 0.12200328516817582, 0.08713200331229709]",EC86YM
r3rk2/p1b2p1p/1pp1p3/2Pp4/4P3/2NBR3/PP3PPP/5RK1 w - - 0 21,"['c5b6', 'e4d5', 'e3h3', 'e3f3', 'c3e2', 'c3d1', 'e3e2', 'c3b1', 'e3e1', 'c3a4', 'f2f4', 'c3b5', 'e3g3', 'f1c1', 'd3b5', 'f1d1', 'c3d5', 'a2a4', 'b2b3', 'g1h1', 'b2b4', 'd3b1', 'f1b1', 'e4e5', 'd3e2', 'd3c2', 'f1e1', 'g2g3', 'h2h4', 'a2a3', 'd3a6', 'g2g4', 'f1a1', 'h2h3', 'f2f3', 'd3c4']","[0.8703024236418141, 0.8527522051053598, 0.8296705794728743, 0.8195549101116701, 0.812928143673567, 0.7913220643148936, 0.7907133848624497, 0.7769924697409847, 0.7718467521712883, 0.6873942354748303, 0.6456972666879179, 0.6440107489122191, 0.6363776066437299, 0.6355251419984301, 0.6346718261450347, 0.6260928550975975, 0.6060654870564154, 0.6051860475782356, 0.5901355884591462, 0.5874611371519987, 0.5838871815019091, 0.5838871815019091, 0.5829922971166973, 0.5812008926446736, 0.5794073444653803, 0.5758139966794447, 0.5749143902876699, 0.5713110574149894, 0.5631764176433595, 0.5622703840425896, 0.5559168418448287, 0.5550076484124536, 0.5477213400816676, 0.5404145195219514, 0.5101243359708437, 0.48067870579756605]",BHTT11
1r4k1/5p2/p6p/1p4p1/2b5/2B3P1/5P1P/R5K1 w - - 2 35,"['a1a6', 'c3b4', 'a1d1', 'c3e5', 'f2f4', 'h2h4', 'a1e1', 'c3a5', 'c3b2', 'c3d4', 'c3f6', 'a1a5', 'a1a3', 'a1b1', 'a1c1', 'g1g2', 'g3g4', 'f2f3', 'h2h3', 'c3d2', 'c3e1', 'g1h1', 'c3g7', 'c3h8', 'a1f1', 'a1a4', 'a1a2']","[0.4196956162806843, 0.27520211606290007, 0.2614691522497748, 0.26004961055879766, 0.25652269131137545, 0.24408755556920003, 0.2407066986076838, 0.2400343786012863, 0.2400343786012863, 0.23802513721984941, 0.2366920834084017, 0.2340414606810215, 0.23272390323804226, 0.23206706534704952, 0.23141152218477828, 0.23010432245165907, 0.22685902088008758, 0.22428615873700553, 0.21420301444757306, 0.20989659908230773, 0.19852984077617208, 0.1938844142805335, 0.08683957548832155, 0.0851035919775297, 0.07981222090680473, 0.06869485746011517, 0.06390996781621955]",RHO9W3
r2q1rk1/ppp1np1p/5pbb/3Pp3/2B1P3/P1N4P/1P2NPP1/R2Q1RK1 b - - 0 12,"['f6f5', 'e7c8', 'g8h8', 'a8c8', 'a7a6', 'g8g7', 'd8d6', 'a8b8', 'f8e8', 'h6g5', 'd8d7', 'b7b5', 'a7a5', 'h6g7', 'd8c8', 'c7c5', 'c7c6', 'b7b6', 'd8e8', 'd8b8', 'g6h5', 'h6f4', 'g6e4', 'e7d5', 'g6f5', 'e7c6', 'e7f5', 'h6e3', 'h6d2', 'h6c1', 'd8d5']","[0.5531881623684916, 0.45501647940453177, 0.4513666864926168, 0.44408315815517135, 0.43501278527292314, 0.4341080334601539, 0.43139643471891215, 0.4286889425850106, 0.4232868990440539, 0.4179031343602754, 0.41700770288330274, 0.41611281849809095, 0.41611281849809095, 0.3939345129435846, 0.38954771790854137, 0.38430712075371815, 0.3825661400242328, 0.3816967754233412, 0.37822693647667593, 0.3704656899332343, 0.3627707844161063, 0.27373565145955325, 0.2074644899708633, 0.1772009855540524, 0.13391073492623923, 0.12722419810075325, 0.12519393136296175, 0.11470529526403384, 0.09348188324070156, 0.08950365682918204, 0.06238521496986116]",V6ATOO
2r1r1k1/1pp2ppn/1p1p1n1p/1P1P4/4P2B/P7/3N1PPP/R3R1K1 b - - 0 21,"['c8a8', 'f6d7', 'f6h5', 'g8f8', 'h6h5', 'g7g5', 'e8f8', 'c8b8', 'g7g6', 'f6g4', 'h7g5', 'e8d8', 'c8d8', 'h7f8', 'e8e5', 'e8e7', 'g8h8', 'f6e4', 'c7c5', 'c7c6', 'f6d5', 'e8e4', 'e8e6']","[0.4917160780856239, 0.4742482461063748, 0.4724124461074959, 0.4568432147802496, 0.4568432147802496, 0.454103562397001, 0.4513666864926168, 0.44954372531791664, 0.4477221183422858, 0.44499235158754635, 0.44135784741538037, 0.4404501867400794, 0.4368235823566406, 0.43139643471891215, 0.43139643471891215, 0.4268863060981179, 0.4259857125367345, 0.4179031343602754, 0.34926500611173045, 0.3197705631318085, 0.2693655907860994, 0.13867824357894337, 0.1049899270693318]",HNXW8M
r3kbnr/pp1b1ppp/2n1p3/2pp4/3P4/P1P1P1P1/1q1BNPBP/RN1Q1RK1 b kq - 1 9,"['b2a1', 'c5c4', 'g8f6', 'c6d8', 'a8c8', 'a8d8', 'g8e7', 'h7h5', 'h7h6', 'a8b8', 'b7b6', 'a7a5', 'a7a6', 'f8e7', 'g8h6', 'c5d4', 'g7g6', 'f7f5', 'f7f6', 'e8d8', 'g7g5', 'e8c8', 'f8d6', 'b7b5', 'd7c8', 'c6e7', 'c6a5', 'c6e5', 'e6e5', 'b2b6', 'c6d4', 'b2b5', 'c6b4', 'c6b8', 'e8e7', 'b2d2', 'b2b1', 'b2b3', 'b2c3', 'b2c2', 'b2c1', 'b2a3', 'b2b4', 'b2a2']","[0.7925355100291366, 0.7789006509604562, 0.769895677548341, 0.7406582830702547, 0.7399503894412024, 0.7342422977111448, 0.7342422977111448, 0.7136455108934885, 0.7121382389811245, 0.711382833072352, 0.7083494652148071, 0.705297423779081, 0.70145635827134, 0.6991379705974721, 0.6921217783768152, 0.6866024721808975, 0.6818291390214323, 0.6713557948833915, 0.6689139863954203, 0.6623581358171662, 0.6615341844106734, 0.6573997938422768, 0.6532413731006851, 0.6490594228774123, 0.6456972666879179, 0.6397788635128212, 0.5910258971916128, 0.5812008926446736, 0.5477213400816676, 0.53675438329054, 0.5358387144707508, 0.5321736834106171, 0.4669097177008696, 0.4659933421436654, 0.4332037205612503, 0.09473750066487285, 0.08683957548832155, 0.07482293812793234, 0.060474702951805626, 0.05642352684427998, 0.05299691532751344, 0.0506453181708183, 0.045911801549257114, 0.04264118860088395]",X3LL63
4k2r/3p1p2/2n1p3/3bP1pp/2pP4/P4N1P/4BPP1/5RK1 b k - 0 22,"['g5g4', 'e8e7', 'h5h4', 'e8f8', 'f7f5', 'e8d8', 'h8g8', 'c6a5', 'e8g8', 'f7f6', 'h8f8', 'c4c3', 'c6a7', 'd5f3', 'h8h7', 'd7d6', 'c6e7', 'h8h6', 'd5e4', 'c6b8', 'c6d8', 'c6d4', 'c6b4', 'c6e5']","[0.7313584554765282, 0.7037644505807509, 0.6770173032617418, 0.6607092522793869, 0.6549075932826014, 0.6490594228774123, 0.648220254322344, 0.6406270050754315, 0.6397788635128212, 0.6372292155838937, 0.6312501413084699, 0.591915609324709, 0.5901355884591462, 0.5477213400816676, 0.5303398401818216, 0.5275875538925041, 0.5275875538925041, 0.522078114090291, 0.5138042910293155, 0.47700323643230064, 0.4742482461063748, 0.23206706534704952, 0.19736068787568456, 0.19619673470860033]",VYI3HK
4rrk1/p1p3p1/1p3q2/3R1pp1/1PP2P2/P3p1P1/4Q2P/3R2K1 w - - 0 26,"['f4g5', 'd1d3', 'd5d3', 'd1f1', 'd5d4', 'd1d4', 'd5d7', 'g1h1', 'e2f3', 'd1e1', 'c4c5', 'b4b5', 'g1g2', 'e2g2', 'e2e1', 'a3a4', 'd1b1', 'e2h5', 'h2h3', 'd1c1', 'e2a2', 'e2d3', 'g1f1', 'g3g4', 'd5e5', 'e2c2', 'd5b5', 'h2h4', 'd5f5', 'e2f1', 'd5a5', 'd5d6', 'd5d2', 'd5d8', 'd1d2', 'd5c5', 'e2e3', 'd1a1', 'e2d2', 'e2g4', 'e2f2', 'e2b2']","[0.34177138985111283, 0.3343559420193419, 0.30944966094531423, 0.3055293955493827, 0.30163710052985643, 0.30086202940252793, 0.29393782392203827, 0.2878617610188755, 0.28260706642917927, 0.26575770228885515, 0.25652269131137545, 0.24138030361930346, 0.24138030361930346, 0.23338203523147633, 0.23272390323804226, 0.22428615873700553, 0.21606818783516446, 0.2154451591425247, 0.21420301444757306, 0.20989659908230773, 0.20989659908230773, 0.20206852665869057, 0.20088375754720622, 0.19102319886093233, 0.18707185632643297, 0.18595452438873583, 0.17881728296347305, 0.16774348040130993, 0.11620943498073888, 0.11029421425487995, 0.10603244788021299, 0.10533642481155803, 0.10259250923752877, 0.0960081969682186, 0.09254998565401296, 0.08453196045763806, 0.08035473751517275, 0.07981222090680473, 0.06435194965051655, 0.05622781310464969, 0.056032737915242325, 0.03781327431647857]",FJX4L5
rn1qk1nr/pbpp1ppp/1p2p3/1N6/1b1P1B2/8/PPP1PPPP/R2QKBNR w KQkq - 2 5,"['c2c3', 'f4d2', 'b5c3', 'd1d2']","[0.7441789207783136, 0.45227865991833244, 0.4286889425850106, 0.06614848131031625]",W7ZYY5
4r1k1/ppp2p1p/6p1/4n3/8/2Q4N/PP3KPP/4R3 b - - 1 20,"['e5g4', 'f7f6', 'g8g7', 'e8c8', 'e5d3', 'g8f8', 'e8d8', 'e8e6', 'h7h6', 'e8f8', 'e8e7', 'e8a8', 'c7c6', 'c7c5', 'b7b5', 'g8h8', 'b7b6', 'e8b8', 'a7a6', 'a7a5', 'f7f5', 'h7h5', 'g6g5', 'e5c4', 'e5d7', 'e5f3', 'e5c6']","[0.09473750066487285, 0.0851035919775297, 0.06524446379186621, 0.05355405200760416, 0.05262853537987727, 0.0506453181708183, 0.04623546138532342, 0.04463860778885237, 0.04448184481402617, 0.04339911529907742, 0.04309441347327758, 0.04249112822828516, 0.04189591869906967, 0.04130868707846219, 0.04087344053423547, 0.04087344053423547, 0.04087344053423547, 0.03987487761127173, 0.03973414823587984, 0.03945411659006681, 0.03889972076668535, 0.03781327431647857, 0.03423584182026751, 0.0, 0.0, 0.0, 0.0]",DWC37S
8/1p6/p5kp/5pp1/7P/2P1BnP1/PP2K3/8 b - - 2 40,"['f3h2', 'f3e5', 'g5g4', 'f5f4', 'f3h4', 'g5h4', 'f3e1', 'f3d4', 'f3g1', 'f3d2', 'h6h5', 'a6a5', 'b7b5', 'b7b6', 'g6f7', 'g6h5', 'g6g7', 'g6h7', 'g6f6']","[0.5147240615881282, 0.5138042910293155, 0.42508560971233006, 0.31181509311084854, 0.2901315068241716, 0.2032585059804044, 0.15051371328484564, 0.1444952958104478, 0.14268414971333432, 0.1369283400318172, 0.1364937770513217, 0.1364937770513217, 0.1351970515980852, 0.1347671251678204, 0.1301137622360911, 0.12928252385851996, 0.1288686029157785, 0.1288686029157785, 0.1276336111356119]",7R33EV
2k2b1r/pr4n1/2N4p/1PpRp3/P7/8/1P4PP/2K1R3 w - - 0 28,"['d5d8', 'a4a5', 'c1b1', 'e1f1', 'g2g4', 'c1c2', 'b2b4', 'g2g3', 'h2h3', 'e1e5', 'e1e2', 'b2b3', 'c1d1', 'e1e3', 'e1d1', 'c6e5', 'c1d2', 'e1e4', 'h2h4', 'd5d2', 'd5d3', 'd5d1', 'c6d8', 'd5e5', 'e1g1', 'e1h1', 'c6a5', 'b5b6', 'c6a7', 'c6b8', 'c6b4', 'c6e7', 'c6d4', 'd5d6', 'd5d4', 'd5d7', 'd5c5']","[0.6269544312155905, 0.5936932221056321, 0.5677001476173855, 0.5640820298184349, 0.5622703840425896, 0.5568256609665037, 0.5513672504375507, 0.5440703011199586, 0.5440703011199586, 0.5422429789460687, 0.5376698043044984, 0.5340066578563346, 0.5294226081270875, 0.5165632973121441, 0.5064432832995209, 0.5036820134406647, 0.5, 0.5, 0.497238468079986, 0.4605001214877426, 0.45775702105393146, 0.44954372531791664, 0.4359179701815651, 0.4332037205612503, 0.4322998523826144, 0.4214902195015801, 0.40364496835363256, 0.32057201036650806, 0.2044536974774852, 0.1636713177029654, 0.1463255076659773, 0.11583180176076446, 0.11321813012886112, 0.10638197729176951, 0.1056839310673574, 0.1012444276691743, 0.0889053425473339]",T1ACWJ
