FEN,Move,Win Probability
rnbqk1nr/pp2ppbp/2pp2p1/8/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq - 0 5,"['g1f3', 'f1e2', 'a2a4', 'a2a3', 'e3e4', 'f1d3', 'd1d2', 'h2h4', 'f4g3', 'h2h3', 'd1d3', 'f1c4', 'f4g5', 'c3e4', 'a1b1', 'd1c1', 'a1c1', 'g1e2', 'g2g4', 'd1e2', 'b2b3', 'd1b1', 'b2b4', 'g2g3', 'g1h3', 'c3a4', 'f2f3', 'c3b1', 'c3e2', 'd1f3', 'e1e2', 'e1d2', 'd4d5', 'c3b5', 'f4d6', 'f1b5', 'f4e5', 'c3d5', 'f1a6', 'f4h6', 'd1h5', 'd1g4']","[0.531256867324871, 0.5266697440308632, 0.5248335896523929, 0.5101243359708437, 0.5082839219143761, 0.5073636275599663, 0.5064432832995209, 0.5046024700028845, 0.5046024700028845, 0.5027615319200139, 0.4815979155878063, 0.4815979155878063, 0.48067870579756605, 0.47608474251652944, 0.4724124461074959, 0.46874313267512907, 0.4650771960458313, 0.4623301956955016, 0.4605001214877426, 0.45775702105393146, 0.4568432147802496, 0.4513666864926168, 0.4504550396254112, 0.44408315815517135, 0.44226590014833245, 0.4404501867400794, 0.43139643471891215, 0.43139643471891215, 0.4295909740554304, 0.4241860033205554, 0.39657487064657393, 0.3799603223030577, 0.37563269360828333, 0.14358734593333494, 0.13911864088681591, 0.1322117556602187, 0.12438962914872875, 0.10743666150648551, 0.10057629832289083, 0.0851035919775297, 0.04448184481402617, 0.02833820781308205]"
rnbqk2r/1pp1Bppp/p3p3/3p4/2PPn3/P1N2N2/1P2PPPP/R2QKB1R b KQkq - 0 7,"['d8e7', 'e4c3', 'e8e7', 'e4f2', 'd8d7', 'd8d6', 'e8d7', 'd5c4', 'b8c6', 'b8d7', 'h7h6', 'h7h5', 'b7b6', 'c7c5', 'g7g6', 'f7f6', 'g7g5', 'c7c6', 'f7f5', 'b7b5', 'c8d7', 'a6a5', 'e4d6', 'e4d2', 'e6e5', 'e4g5', 'h8f8', 'a8a7', 'e4g3', 'e4f6', 'h8g8', 'e4c5']","[0.44590191339485113, 0.4098644115408538, 0.39922126818820586, 0.11321813012886112, 0.11211381938667214, 0.04771897627338734, 0.041454752369791736, 0.041454752369791736, 0.03862533331408574, 0.03794746924107789, 0.03741341970378809, 0.037149110959298626, 0.03675601122110872, 0.03649617068082933, 0.03636691402549663, 0.03623809793445515, 0.03598178192927293, 0.035727211667910985, 0.035727211667910985, 0.035727211667910985, 0.03484980600680582, 0.03411430701868834, 0.03339379353190336, 0.032455931416832784, 0.031656225980229935, 0.03154354953282035, 0.030765610103267726, 0.03043792313186805, 0.029792661930435005, 0.02958053593302362, 0.028035627443350086, 0.01724353859494887]"
rn1qkbnr/ppp3pp/3p1p2/4p3/2B1P3/5Q1P/PPPP1PP1/RNB1K2R w KQkq - 0 6,"['f3b3', 'c4g8', 'd2d4', 'a2a4', 'e1g1', 'b2b4', 'b1a3', 'c2c3', 'd2d3', 'e1d1', 'f3d1', 'a2a3', 'c4b5', 'b1c3', 'h3h4', 'b2b3', 'f3d3', 'c4b3', 'f3g4', 'f3e2', 'c4e2', 'g2g3', 'f3e3', 'e1f1', 'f3h5', 'f3g3', 'c4e6', 'e1e2', 'c4d5', 'f3f5', 'f3c3', 'c4d3', 'c4f1', 'f3a3', 'g2g4', 'h1f1', 'h1g1', 'h1h2', 'c4f7', 'c4a6', 'f3f4', 'f3f6']","[0.7659585393189785, 0.7128924657021357, 0.7091095639886315, 0.6873942354748303, 0.6794279896334919, 0.6794279896334919, 0.6770173032617418, 0.6729785473928086, 0.6490594228774123, 0.6389298484637961, 0.6355251419984301, 0.6346718261450347, 0.6295343100667656, 0.6295343100667656, 0.6295343100667656, 0.6286751633890878, 0.6278152022123592, 0.6260928550975975, 0.623503343299711, 0.6113275248507526, 0.6069442398881181, 0.6007787318117942, 0.5998952814867482, 0.5990111810176295, 0.5981264356862743, 0.5928047194327711, 0.5910258971916128, 0.589244688568345, 0.5883532029754936, 0.585675286773559, 0.5838871815019091, 0.5758139966794447, 0.5686035652810878, 0.5631764176433595, 0.5631764176433595, 0.5559168418448287, 0.5522778816577142, 0.5495449603745888, 0.20989659908230773, 0.16825814846895443, 0.07305814559620055, 0.05985012182014682]"
8/1pp2ppp/2n1k3/pK6/4PP2/8/6PP/8 w - - 1 28,"['b5a4', 'h2h4', 'g2g4', 'h2h3', 'g2g3', 'b5c4', 'e4e5', 'f4f5', 'b5c5']","[0.08090061761863632, 0.07954221878235157, 0.07873721253163218, 0.07741207977412268, 0.07662683689656646, 0.07431475154930411, 0.07355842196199991, 0.07330789078382272, 0.07060348244255998]"
3r2k1/p1p2p2/1pb2p2/2b1p3/4P1P1/2P2B2/PP4K1/R4R2 w - - 3 24,"['a1d1', 'f1d1', 'f1e1', 'a1e1', 'g2h3', 'a1b1', 'f1h1', 'b2b4', 'g2h1', 'g2g3', 'g4g5', 'a2a4', 'b2b3', 'a2a3', 'f1b1', 'c3c4', 'f3e2', 'a1c1', 'f3d1', 'f1c1', 'g2h2', 'f1f2', 'f1g1']","[0.5349228039541688, 0.5330902822991305, 0.497238468079986, 0.4852759384118717, 0.4477221183422858, 0.4395429240174578, 0.4377296159574105, 0.43139643471891215, 0.4179031343602754, 0.40010471851325186, 0.38779794964864106, 0.3851787270047305, 0.3808281678856246, 0.36874985869153015, 0.36703734109527436, 0.35598925108778084, 0.33271896373429855, 0.33027105825721115, 0.3237883625149461, 0.31181509311084854, 0.3047486873684638, 0.20989659908230773, 0.17559617358710589]"
6k1/1p3ppp/4pb2/2Np4/3P4/2N1P1P1/2q2PKP/8 b - - 3 27,"['c2c3', 'f6g5', 'b7b6', 'h7h5', 'g7g6', 'f6e7', 'c2b2', 'e6e5', 'h7h6', 'g7g5', 'f6d8', 'g8h8', 'f6e5', 'c2g6', 'b7b5', 'c2c1', 'c2d2', 'g8f8', 'f6h4', 'f6d4', 'c2f5', 'c2e4', 'c2f2', 'c2b3', 'c2d3', 'c2b1', 'c2a2', 'c2d1', 'c2e2', 'c2a4']","[0.9196452624848273, 0.9089846472089855, 0.8980835075224126, 0.8960435355372941, 0.8852947047359662, 0.8849202661233511, 0.8826512446263817, 0.8807308573242654, 0.8756103708512714, 0.8748060686370382, 0.8744022488807764, 0.8723663888643881, 0.8682101242356407, 0.8656616464722748, 0.8643718654361714, 0.8643718654361714, 0.8639396241959597, 0.8586617598408057, 0.8586617598408057, 0.856864845578129, 0.8408144041620199, 0.5, 0.25442163783820854, 0.17453266737981438, 0.17294694147710776, 0.17242090445576874, 0.1672300700782952, 0.1646818444286432, 0.16017373139259594, 0.15098510766141626]"
r1bq1rk1/1ppp1ppp/8/1BN1P3/1n1p4/8/PPP2PPP/R1BQK2R b KQ - 0 11,"['d7d6', 'b4a2', 'd8e7', 'a8a2', 'c7c6', 'a8a5', 'h7h6', 'd8e8', 'd7d5', 'b7b6', 'b4c6', 'f8e8', 'd8h4', 'b4d5', 'a8a7', 'h7h5', 'f7f6', 'g7g6', 'd4d3', 'f7f5', 'g8h8', 'a8b8', 'g7g5', 'b4a6', 'b4c2', 'a8a6', 'a8a4', 'b4d3', 'a8a3', 'd8f6', 'd8g5']","[0.2427313650702102, 0.21731815726726345, 0.21606818783516446, 0.2111204806304472, 0.2062562611938536, 0.1927360397463046, 0.18875753377152027, 0.18484234856825787, 0.17881728296347305, 0.1772009855540524, 0.17294694147710776, 0.16825814846895443, 0.16774348040130993, 0.16620701810552085, 0.16569737414693786, 0.16518898331549792, 0.1572241570074313, 0.15145771517415685, 0.14678605153511798, 0.14540801215840354, 0.1444952958104478, 0.1422343301868677, 0.1369283400318172, 0.1364937770513217, 0.12082496069766191, 0.11773067562385076, 0.09071118696593633, 0.08860754082683975, 0.08453196045763806, 0.0441698922302976, 0.026856386991713777]"
r3k2r/pb3ppp/2pq1n2/4b3/8/2NP1N2/PPP3PP/R1BQK2R w KQkq - 1 11,"['d3d4', 'f3e5', 'd1e2', 'e1g1', 'd1d2', 'c1d2', 'a2a4', 'c1e3', 'c3e2', 'a2a3', 'a1b1', 'c1g5', 'e1f1', 'h1f1', 'c3e4', 'f3d2', 'e1f2', 'c3b1', 'g2g4', 'h1g1', 'c3a4', 'f3g5', 'f3h4', 'g2g3', 'e1e2', 'h2h4', 'e1d2', 'c1h6', 'f3g1', 'h2h3', 'c3d5', 'c1f4', 'c3b5', 'f3d4', 'b2b4', 'b2b3']","[0.7434773086886245, 0.6929058344072113, 0.6850156824376978, 0.6303926375862742, 0.5874611371519987, 0.5785097804984198, 0.5722126153120402, 0.5713110574149894, 0.5622703840425896, 0.5540980866051488, 0.5440703011199586, 0.5285051773118131, 0.5174827500461167, 0.49355671670047907, 0.4852759384118717, 0.4586711116420767, 0.4468118376315084, 0.4395429240174578, 0.41164679702450635, 0.4054188880512549, 0.39745633901469424, 0.39569407338298884, 0.3816967754233412, 0.37822693647667593, 0.37476952142308345, 0.3534608279851336, 0.3426002061577233, 0.3343559420193419, 0.29854364172866005, 0.29777313012875556, 0.22300753025901537, 0.19503797801426692, 0.18707185632643297, 0.1621648870000681, 0.13736406646514476, 0.1280441483889645]"
3r1r1k/4ppbp/p3P1pn/npp3N1/2Pp1BP1/PP1P3P/3N1PK1/R3R3 b - - 0 23,"['d8c8', 'f7f6', 'a5c6', 'f7f5', 'd8a8', 'b5c4', 'd8e8', 'h8g8', 'a5b7', 'a5b3', 'f7e6', 'g7f6', 'a5c4', 'd8d6', 'b5b4', 'd8b8', 'f8g8', 'f8e8', 'h6f5', 'h6g4', 'g7e5', 'h6g8', 'd8d5', 'd8d7']","[0.27009086783348246, 0.2607587561640227, 0.2593417169297452, 0.2434088196633245, 0.24205519274435705, 0.24138030361930346, 0.21358389864815974, 0.2044536974774852, 0.19970419641667098, 0.17559617358710589, 0.17294694147710776, 0.17189613488694255, 0.16166523433017105, 0.15673687957968802, 0.1463255076659773, 0.13956021014527653, 0.13780095806432646, 0.11926914267573452, 0.11849774804133456, 0.1135883369859218, 0.10327249441731556, 0.09348188324070156, 0.07662683689656646, 0.06347081567518353]"
r3k2r/pp1qb1p1/3p2pp/3Qp3/2P1P1b1/4B3/PP3P1N/R3R1K1 w kq - 0 20,"['h2g4', 'd5b5', 'e1d1', 'a2a4', 'b2b4', 'b2b3', 'a1c1', 'e1c1', 'a1d1', 'f2f3', 'c4c5', 'e3d2', 'g1g2', 'a1b1', 'a2a3', 'e1b1', 'g1h1', 'e3c1', 'd5d2', 'e1f1', 'd5d3', 'h2f1', 'd5a5', 'g1f1', 'f2f4', 'e3a7', 'e3f4', 'e3d4', 'e3b6', 'e3c5', 'e1e2', 'e3h6', 'h2f3', 'e3g5', 'd5b7', 'd5d1', 'd5d6', 'd5d4', 'd5g8', 'd5e5', 'd5f7', 'd5c6', 'd5c5', 'd5e6']","[0.3534608279851336, 0.2275054850760267, 0.2262138557091269, 0.22428615873700553, 0.22300753025901537, 0.2204658929761425, 0.2204658929761425, 0.2204658929761425, 0.21296608731927869, 0.21296608731927869, 0.21173437828081765, 0.21173437828081765, 0.2105078875691775, 0.20807056065774177, 0.2062562611938536, 0.2044536974774852, 0.20088375754720622, 0.194460547256589, 0.18595452438873583, 0.18484234856825787, 0.18044508988832997, 0.17666477329070246, 0.1692912623296785, 0.16877407540701395, 0.16569737414693786, 0.11965646568318677, 0.11620943498073888, 0.11470529526403384, 0.11248087332490314, 0.10779026169080513, 0.10225400583383587, 0.09379438122652484, 0.08860754082683975, 0.07636671651344662, 0.07084547782912387, 0.06569502690193751, 0.05781155462672544, 0.04976742674428336, 0.04432560682082287, 0.04309441347327758, 0.042043969347174914, 0.03623809793445515, 0.03598178192927293, 0.029792661930435005]"
r4rk1/3bq1p1/p1pb3p/1p1pNp2/1P1PnP2/P2QP3/2B3PP/2R1BRK1 b - - 2 18,"['d6e5', 'f8c8', 'g8h7', 'f8b8', 'e7e8', 'e7e6', 'f8d8', 'e7d8', 'f8e8', 'd7e8', 'f8f6', 'a8e8', 'd6c7', 'h6h5', 'd6b8', 'a8b8', 'a8c8', 'a8a7', 'g7g5', 'a6a5', 'd7c8', 'a8d8', 'f8f7', 'e4f6', 'd7e6', 'c6c5', 'g7g6', 'e4g5', 'e7f6', 'g8h8', 'e4g3', 'e4f2', 'e7f7', 'e4c3', 'e4d2', 'e4c5', 'd6c5', 'd6b4', 'e7e5', 'e7g5', 'e7h4']","[0.4568432147802496, 0.454103562397001, 0.4513666864926168, 0.44590191339485113, 0.44408315815517135, 0.4431743390334964, 0.44226590014833245, 0.43501278527292314, 0.4214902195015801, 0.4179031343602754, 0.41164679702450635, 0.38605107056395144, 0.38430712075371815, 0.37390714490240246, 0.3721847977876407, 0.3704656899332343, 0.3661823363988792, 0.36532817385496535, 0.3627707844161063, 0.36192003565750486, 0.36107015153620403, 0.3576793498105364, 0.35598925108778084, 0.3534608279851336, 0.3459250441719453, 0.2366920834084017, 0.21920288905293317, 0.1500435305626528, 0.1288686029157785, 0.12043437276310126, 0.1085005324218955, 0.10779026169080513, 0.10533642481155803, 0.1049899270693318, 0.10293200474653547, 0.10024370428970547, 0.09505375590046167, 0.09285968753405982, 0.07636671651344662, 0.06569502690193751, 0.0650202616394161]"
r2qkb1r/ppp2ppp/2n1b3/3np1N1/2B5/5Q2/PPPP1PPP/RNB1K2R w KQkq - 2 7,"['g5e6', 'f3h5', 'f3g3', 'd2d3', 'e1g1', 'c2c3', 'b1c3', 'h2h4', 'c4d5', 'e1f1', 'b1a3', 'h1g1', 'd2d4', 'f3e4', 'f3b3', 'f3d3', 'h2h3', 'c4b3', 'h1f1', 'g5h3', 'g5f7', 'g5e4', 'b2b4', 'b2b3', 'a2a4', 'a2a3', 'g2g3', 'g2g4', 'c4b5', 'c4a6', 'g5h7', 'e1d1', 'f3f7', 'c4d3', 'f3c3', 'f3e2', 'f3d1', 'c4f1', 'c4e2', 'f3a3', 'f3d5', 'e1e2', 'f3h3', 'f3e3', 'f3f4', 'f3g4', 'f3f5', 'f3f6']","[0.597241050790976, 0.4843562675785791, 0.47608474251652944, 0.4018735643137257, 0.36703734109527436, 0.3294571208942188, 0.3229826967382582, 0.3197705631318085, 0.2579296914716822, 0.257225562523035, 0.2488744990616516, 0.23141152218477828, 0.2275054850760267, 0.22109934903954387, 0.21920288905293317, 0.19970419641667098, 0.1956167070159846, 0.194460547256589, 0.1893220100493414, 0.17347424696948943, 0.17242090445576874, 0.17189613488694255, 0.1698097103394629, 0.16825814846895443, 0.15528242303659195, 0.15288283121406654, 0.13911864088681591, 0.13348426760561977, 0.12928252385851996, 0.12358976412903044, 0.12004487506796785, 0.12004487506796785, 0.10533642481155803, 0.09729410510118269, 0.09101535279101453, 0.0904079365368638, 0.08920404718859543, 0.08539072061698, 0.07981222090680473, 0.0701217817312833, 0.059026740057327, 0.05882255957786381, 0.056032737915242325, 0.04279175523833534, 0.03876229404260456, 0.03848883713867102, 0.03728104017137718, 0.03728104017137718]"
1k1r1b1r/ppp1qpp1/2np1n1p/4p3/2B1P3/P1PPB2Q/1P1N1PPP/R3K2R w KQ - 3 11,"['c4b5', 'h3f3', 'e1c1', 'd2b3', 'h3f5', 'e3g5', 'e1g1', 'c4b3', 'h1f1', 'a3a4', 'c4d5', 'd2f3', 'c4a2', 'h3g3', 'e1d1', 'g2g3', 'a1c1', 'f2f3', 'a1d1', 'h1g1', 'g2g4', 'd2f1', 'h3h4', 'e1e2', 'b2b4', 'a1b1', 'd2b1', 'e1f1', 'd3d4', 'a1a2', 'b2b3', 'f2f4', 'e3a7', 'c4a6', 'e3c5', 'c4f7', 'e3d4', 'e3f4', 'e3h6', 'e3b6', 'c4e6', 'h3c8', 'h3h5', 'h3h6', 'h3g4', 'h3e6', 'h3d7']","[0.6043059266170111, 0.5847815132358991, 0.5749143902876699, 0.5731136939018822, 0.5713110574149894, 0.5667962794387497, 0.5640820298184349, 0.5631764176433595, 0.5577340998516674, 0.5559168418448287, 0.5513672504375507, 0.5486333135073832, 0.545896437602999, 0.5422429789460687, 0.5394998785122574, 0.5385849714102531, 0.53675438329054, 0.53675438329054, 0.5358387144707508, 0.5358387144707508, 0.5358387144707508, 0.531256867324871, 0.531256867324871, 0.5266697440308632, 0.5257517538936253, 0.5239152574834706, 0.5119644756166626, 0.5027615319200139, 0.497238468079986, 0.497238468079986, 0.46874313267512907, 0.4286889425850106, 0.21731815726726345, 0.2074644899708633, 0.194460547256589, 0.19045484200262652, 0.17506378427288877, 0.1708503939715894, 0.1646818444286432, 0.15051371328484564, 0.14495105737956576, 0.07636671651344662, 0.06893079617403686, 0.06752634758661236, 0.0659213917256884, 0.06260093933963423, 0.04805473429758533]"
rnbq1rk1/ppp3p1/5pQ1/2bp4/3PP3/8/PPP3PP/RNB1KBNR b KQ - 0 9,"['c5d4', 'c5b4', 'c5b6', 'f8e8', 'b8d7', 'b8c6', 'c5d6', 'd8e7', 'f8f7', 'b8a6', 'c5e7', 'f6f5', 'c7c6', 'c8e6', 'd8d7', 'b7b6', 'b7b5', 'd8d6', 'd8e8', 'a7a5', 'c8g4', 'a7a6', 'c8d7', 'g8h8', 'c8f5', 'c5a3', 'c8h3', 'd5e4']","[0.22556999001192107, 0.16569737414693786, 0.16569737414693786, 0.15383900101915987, 0.14724779489464035, 0.1444952958104478, 0.14404072586099298, 0.13780095806432646, 0.1351970515980852, 0.13348426760561977, 0.1309495413845757, 0.12519393136296175, 0.12200328516817582, 0.11849774804133456, 0.11696790982294991, 0.11620943498073888, 0.10993341208440888, 0.10885720702563229, 0.10673252134178429, 0.10327249441731556, 0.10090987209463725, 0.09991208792971568, 0.0992517799624475, 0.09892308421915808, 0.09794280511446124, 0.09505375590046167, 0.09193336344131242, 0.0]"
